web-scraper-order,web-scraper-start-url,name,name-href
"1611147903-384","https://gs.statcounter.com/social-media-stats/all/afghanistan","Nicaragua","https://gs.statcounter.com/social-media-stats/all/nicaragua"
"1611147903-394","https://gs.statcounter.com/social-media-stats/all/afghanistan","Palau","https://gs.statcounter.com/social-media-stats/all/palau"
"1611147903-379","https://gs.statcounter.com/social-media-stats/all/afghanistan","Nepal","https://gs.statcounter.com/social-media-stats/all/nepal"
"1611147903-411","https://gs.statcounter.com/social-media-stats/all/afghanistan","Saint Kitts And Nevis","https://gs.statcounter.com/social-media-stats/all/saint-kitts-and-nevis"
"1611147903-279","https://gs.statcounter.com/social-media-stats/all/afghanistan","Comoros","https://gs.statcounter.com/social-media-stats/all/comoros"
"1611147903-263","https://gs.statcounter.com/social-media-stats/all/afghanistan","Brazil","https://gs.statcounter.com/social-media-stats/all/brazil"
"1611147903-401","https://gs.statcounter.com/social-media-stats/all/afghanistan","Pitcairn Islands","https://gs.statcounter.com/social-media-stats/all/pitcairn-islands"
"1611147903-413","https://gs.statcounter.com/social-media-stats/all/afghanistan","Saint Pierre And Miquelon","https://gs.statcounter.com/social-media-stats/all/saint-pierre-and-miquelon"
"1611147903-387","https://gs.statcounter.com/social-media-stats/all/afghanistan","Niue","https://gs.statcounter.com/social-media-stats/all/niue"
"1611147903-300","https://gs.statcounter.com/social-media-stats/all/afghanistan","Falkland Islands (Malvinas)","https://gs.statcounter.com/social-media-stats/all/falkland-islands-(malvinas)"
"1611147903-348","https://gs.statcounter.com/social-media-stats/all/afghanistan","Lesotho","https://gs.statcounter.com/social-media-stats/all/lesotho"
"1611147903-324","https://gs.statcounter.com/social-media-stats/all/afghanistan","Holy See (Vatican City State)","https://gs.statcounter.com/social-media-stats/all/holy-see-(vatican-city-state)"
"1611147903-396","https://gs.statcounter.com/social-media-stats/all/afghanistan","Panama","https://gs.statcounter.com/social-media-stats/all/panama"
"1611147903-393","https://gs.statcounter.com/social-media-stats/all/afghanistan","Pakistan","https://gs.statcounter.com/social-media-stats/all/pakistan"
"1611147903-427","https://gs.statcounter.com/social-media-stats/all/afghanistan","Somalia","https://gs.statcounter.com/social-media-stats/all/somalia"
"1611147903-268","https://gs.statcounter.com/social-media-stats/all/afghanistan","Burundi","https://gs.statcounter.com/social-media-stats/all/burundi"
"1611147903-440","https://gs.statcounter.com/social-media-stats/all/afghanistan","Tanzania","https://gs.statcounter.com/social-media-stats/all/tanzania"
"1611147903-344","https://gs.statcounter.com/social-media-stats/all/afghanistan","Kyrgyzstan","https://gs.statcounter.com/social-media-stats/all/kyrgyzstan"
"1611147903-329","https://gs.statcounter.com/social-media-stats/all/afghanistan","Indonesia","https://gs.statcounter.com/social-media-stats/all/indonesia"
"1611147903-354","https://gs.statcounter.com/social-media-stats/all/afghanistan","Macao","https://gs.statcounter.com/social-media-stats/all/macao"
"1611147903-439","https://gs.statcounter.com/social-media-stats/all/afghanistan","Tajikistan","https://gs.statcounter.com/social-media-stats/all/tajikistan"
"1611147903-306","https://gs.statcounter.com/social-media-stats/all/afghanistan","French Polynesia","https://gs.statcounter.com/social-media-stats/all/french-polynesia"
"1611147903-258","https://gs.statcounter.com/social-media-stats/all/afghanistan","Bermuda","https://gs.statcounter.com/social-media-stats/all/bermuda"
"1611147903-432","https://gs.statcounter.com/social-media-stats/all/afghanistan","Sudan","https://gs.statcounter.com/social-media-stats/all/sudan"
"1611147903-390","https://gs.statcounter.com/social-media-stats/all/afghanistan","Northern Mariana Islands","https://gs.statcounter.com/social-media-stats/all/northern-mariana-islands"
"1611147903-426","https://gs.statcounter.com/social-media-stats/all/afghanistan","Solomon Islands","https://gs.statcounter.com/social-media-stats/all/solomon-islands"
"1611147903-404","https://gs.statcounter.com/social-media-stats/all/afghanistan","Puerto Rico","https://gs.statcounter.com/social-media-stats/all/puerto-rico"
"1611147903-441","https://gs.statcounter.com/social-media-stats/all/afghanistan","Thailand","https://gs.statcounter.com/social-media-stats/all/thailand"
"1611147903-356","https://gs.statcounter.com/social-media-stats/all/afghanistan","Madagascar","https://gs.statcounter.com/social-media-stats/all/madagascar"
"1611147903-247","https://gs.statcounter.com/social-media-stats/all/afghanistan","Australia","https://gs.statcounter.com/social-media-stats/all/australia"
"1611147903-256","https://gs.statcounter.com/social-media-stats/all/afghanistan","Belize","https://gs.statcounter.com/social-media-stats/all/belize"
"1611147903-267","https://gs.statcounter.com/social-media-stats/all/afghanistan","Burkina Faso","https://gs.statcounter.com/social-media-stats/all/burkina-faso"
